greenyellow black magenta green purple cyan brown pink blue turquoise grey
ABLIM1 0.165093884398522 0.982204916083952 0.448177850381502 0.330979324845642 0.00238242308223929 0.2282297783781 0.000269414135216173 0.00811602629826274 1.08634926890847e-07 2.82897634743641e-08 0.395274690789392
ABLIM2 0.403134019355178 0.320559819443425 0.64078639540163 0.267054983232489 0.00254732919847548 0.775374388561344 0.292740369290609 0.019825899951209 0.0104601162812167 0.00494802491590751 0.0177527267227836
ABR 0.131969169715204 0.913783149708872 0.0428312250318642 0.00797391833217858 1.45375520016235e-07 0.768215721558554 0.0429112761098941 2.01077202274634e-05 1.60974281625445e-07 2.35122695406368e-06 0.113447322811152
ABRA 0.872529489776194 0.847687834309348 0.0845768880901499 0.591366324557238 0.0115314898898841 0.238813397371764 0.0542502849142054 0.157156871202438 0.114441960727502 0.0289103371407476 0.250357420660241
ABT1 0.00209623276687986 0.00160711876865716 0.0115542614281813 2.39475276259469e-11 1.20235109430709e-05 0.00846878804064877 0.130137633636614 0.000244424891081711 7.60586110068845e-07 0.252533952173632 0.956690221271882
ABTB1 0.780918990485669 0.178075947385947 0.81215697125543 0.340693361198347 0.000151556366331609 0.153308706436457 0.000452910675811067 5.20315189878446e-07 1.35851065886151e-09 8.44218309294618e-15 0.902114506357948
ABTB2 0.375816931498731 0.0166537478734669 0.459393192696396 0.115795020127283 0.635968566564691 0.388896381526579 0.110390604041467 0.716609169141695 0.868955431373422 0.056180074169049 0.167486238135686
ACAA1 0.589728288709102 0.707991795972444 0.499684437440478 0.00884308414952029 2.62292506189184e-06 0.0414692358950601 0.0534671159888122 4.59028065348997e-07 1.07416252837899e-13 2.24429805335678e-09 0.36727881806209
ACAA2 0.211961802226797 0.255392387827452 0.950711612283117 0.430344941028522 0.131730603714655 0.388256249366118 0.000137925210114512 0.198927231655596 0.0207261970982858 1.99227596038134e-05 0.940975540779422
ACACA 0.00283167523207655 0.232834102080739 0.00171909529670317 5.51731400020328e-05 2.08916421957993e-07 0.822695319000321 0.533098742608096 0.000308876071554319 0.00451115761465833 0.211283487171756 0.00645402722992158
ACACB 0.662568924010309 0.256841982504827 0.0663242864603069 0.685712215851946 5.31941834934199e-05 0.41854635316878 0.0134260690611828 0.0877893496783092 0.0261170690435695 0.000659223668341423 0.0181237930001857
ACAD10 0.204405606744941 0.0313363652031069 0.531207749649999 0.636816409389476 0.0003037121224982 0.63949574696444 6.30178029584045e-06 0.00373025661205133 0.000279319634618099 2.91500376005696e-11 0.256922112633344
ACAD11 0.636513772161879 0.0318163279454546 0.00371398353918631 0.00128683615056302 5.23714913739877e-05 0.425199297281138 0.555319346722711 0.114036503849912 0.000921342148190333 0.11451206580009 0.420686729595795
ACAD8 0.0962745630183509 0.881465630517024 0.986590656528622 0.223661614476003 0.01030993056023 0.0234103932881717 0.026671215167303 0.0543883058581871 1.0375733497145e-06 3.97582770830117e-05 0.874248684682723
ACAD9 0.702003610346223 0.161736544054824 0.456393666987571 0.799085051551541 0.113889753270928 0.794201223029686 0.164557672057316 0.0176462933485956 0.0089460172252677 0.00326644822353788 0.667735710229947
ACADM 0.000265794534260529 0.00508255068248386 0.143149144882994 2.63290693446649e-05 0.537152040505287 0.0763772575065577 1.91298015014676e-12 0.842776071087143 0.536954176504743 6.17854766316098e-06 0.883141001626329
ACADS 0.021506452271413 0.0240172995310568 0.19378236177731 0.645351749203009 0.0430895884728693 0.0579277383419359 0.00088724296243807 0.00399760012539452 1.00209102606582e-05 8.04912186728657e-10 0.659847354604284
ACADSB 0.270997142920393 0.301451763938789 0.0128472346482168 0.885258209522342 0.0143420990950506 0.0517859379245567 5.10610253896865e-06 0.864934486120595 0.0307894341189767 0.000849234902040477 0.340964244841466
ACADVL 0.889966326531147 0.521263222623029 0.51704666312408 0.0139420339984296 6.1126579685268e-07 0.0210786007277117 0.118349209265003 0.000134030668335405 8.18396458928052e-11 1.29833036346367e-07 0.181614604825102
ACAN 0.393253215089997 0.450548553508954 0.0223613937373824 0.215009695285741 0.00883673358835635 0.459746491859091 0.193450515452756 0.0850881535873572 0.132564957997003 0.139792685524989 0.501612374291197
ACAP1 0.359633890729309 0.226456383720323 0.905743107736656 0.170381415154258 6.44939104090686e-05 0.0125308476947772 0.00366437814016187 4.77707165770708e-05 2.91012382565206e-12 4.80074471702205e-13 0.344015665199344
ACAP2 0.00728053675790593 0.53377003899829 0.103514207578 0.0310844042853752 0.227913958948 0.00702602311391205 4.54382744146748e-11 0.796658521451408 0.48282802108745 0.000407289415480631 0.378421493492513
ACAP3 0.00126813945931448 0.337522136701284 0.421207693018297 0.00169413984798479 3.14092903137764e-05 0.0872411665210265 0.225536319955225 2.21715411317142e-13 0.000344965308828659 0.0233815175228673 0.315498806235902
ACAT1 4.69944725956834e-05 0.293085025557371 0.856619258662318 0.0650482190734955 0.224067222022291 0.563970768813511 4.85828989723411e-13 0.624538081395597 0.00599071940776948 2.80970899760093e-08 0.838095770872041
ACAT2 0.848601679953989 0.836504349385327 0.622672581894087 0.398127935857929 0.00777011566517668 0.821037055820222 0.00230363772362303 0.00482440633906412 4.98592975368336e-05 3.42159243208147e-06 0.48388183504832
ACBD3 0.000537176102020191 0.000949846593002877 0.00276098203789289 0.000343213049747699 0.26369962438179 0.937776379281478 0.000788069035791751 0.817842036470424 0.587757214189255 0.00254891745603892 0.676159811944819
ACBD4 0.0993592300236027 0.199048866540079 0.922590887334569 0.333597412103037 4.86461916259121e-05 0.0233318031616985 0.000773032076296807 0.000550217389631857 4.50476717455761e-10 1.9620450809828e-12 0.236431006112903
ACBD5 3.93375390088613e-07 4.75095649306245e-05 0.000470294780825888 4.46847232260176e-08 0.010905367965014 0.983891846128898 0.00984723762760733 0.0662200348494185 0.163529648129931 0.146302390166316 0.920189729179364
ACBD7 0.144369821666706 0.0377984313142011 0.0178748204986458 0.00763091477521579 0.0153314356618803 0.506648950139633 0.64936047166585 0.186831477855933 0.0976400397164313 0.813978884924507 0.827648301871353
ACCS 0.0635765827415909 0.534467698708549 0.506822555853623 0.0643463902977397 0.0420401789382342 0.849625517027247 0.771261445663992 0.223452791509994 0.0968183491576065 0.358840350063338 0.881677094003182
ACD 0.00856143664076426 0.00651243600788919 0.29473451767223 0.222895798752526 0.0421441514750739 0.69259697347631 2.9751655006022e-06 0.0266497550957232 0.00022421109172187 5.37381089124175e-12 0.138526698018683
ACE 0.196744328750057 0.565579211792663 0.0821569428418765 0.217242552476974 0.000186697558339067 0.402185489665576 0.157503928388365 0.0273046245121461 0.0309387435768134 0.0061331869350806 0.00615335074473068
ACER1 0.558086714490096 0.322427129093067 0.530631978645187 0.5444226283104 0.222133994306375 0.595335588963143 0.664238665363295 0.0283060876288203 0.0488644743748815 0.0419988934530636 0.866623173303822
ACER2 0.731243483520095 0.424887618032286 0.149451184702507 0.977283209206063 0.438128373407747 0.0633940771789494 0.12027063536313 0.731026147570567 0.846097202517337 0.474400886936915 0.220613581832018
ACER3 0.139995932525767 0.92036888169719 0.971242956224862 0.964282592866424 0.430056116703449 0.685736305984844 0.0448429805805809 0.71151266199008 0.0443850026221245 0.0215447375362984 0.280792235551159
ACIN1 0.0661389899012696 0.00257758002635338 0.000149936742253128 2.49121340453805e-10 3.70025142728519e-10 0.126674737766762 0.310857188213006 0.062730974205824 1.01844922959167e-05 0.305268211911129 0.0191415580148532
ACLY 0.0347078935019441 0.137890846323486 0.632487652430158 0.857962468079073 0.00532897838911908 0.0863125897920966 0.000138602559455235 0.0118096354800338 2.87935895539997e-07 1.99290328722864e-11 0.494311063746754
ACN9 0.000920845310037722 0.380586798859254 0.148055372522958 0.0256484592249238 0.246073617355883 0.653311717315484 0.00013117850162238 0.602913453822498 0.265106397208775 0.00476895029460476 0.43106189244005
ACO1 0.554573172955173 0.864159876720996 0.136708874579881 0.143931794628195 5.83045866800526e-05 0.866271495662781 0.00147065893391678 0.0466781607341298 4.52954690020089e-06 2.02062543539245e-06 0.0229463924557306
ACO2 0.606425444900212 0.282427641729567 0.836744797019411 0.0163757228263035 1.40946934696666e-05 0.00179148029263578 0.161693073879201 1.00808033814371e-06 4.03183133510761e-13 5.04323587667648e-09 0.240811371232227
ACOT1 0.341731982777131 0.823011357902575 0.785526893551077 0.541831751976594 0.236761453399092 0.98005337570971 0.372494899536266 0.156756545358475 0.0765088340533901 0.124267372220232 0.843353958288237
ACOT11 0.143327875298429 0.550926233880126 0.959065651928948 0.872674182818765 0.110646888024925 0.102839090695602 0.0799764814991103 0.707773798018391 0.0345041205071501 0.0172175940246262 0.119104605586549
ACOT13 0.0316149864873846 0.0351965545350586 0.00306349474911648 0.640755067709379 0.0443083979705956 0.202617314369292 0.000207966071366596 0.229676974105815 0.0950965239861479 0.0592850498575729 0.121719188826705
ACOT2 0.414691859268681 0.147279211364454 0.142406991263694 0.00332505585458031 0.00288945346685204 0.087396520109172 0.672970085855565 0.00746591540239464 8.34165111910503e-05 0.0314249698183267 0.26909847659176
ACOT4 0.271920589745525 0.0341315676631004 0.101642724873503 0.423868917666126 0.467381119156537 0.394743144878776 0.230909804217735 0.291826566219822 0.120508450589062 0.0114344516830462 0.894983144435655
ACOT7 0.930318034024884 0.183350298339548 0.269029784508187 0.433868740946349 0.104325728042604 0.0355059646474528 0.355622142922541 0.0203493175472916 0.000320961973559077 0.000665350837355618 0.727508825780858
ACOT8 0.223195023612926 0.000520779361721018 0.0797763644903768 0.743540719997501 0.0130688451129461 0.0468111067826858 0.0150321063264711 0.00215519336698415 1.79130628295908e-05 3.51481924609767e-10 0.0973693329135188
ACOT9 0.0277899872399887 0.0256431029336089 0.0553748663751617 8.56885908947887e-06 0.000429416811141967 0.195531122805673 0.539011621160983 0.00582214608694907 4.97333037290185e-05 0.183366382008122 0.834686218719981
ACOX1 0.526168927768086 0.110581825331824 0.12245874186454 0.0134894208571692 0.0209839338811222 0.651825453596166 0.485005422683075 0.0938009736730264 0.00201082901539348 0.102913603521961 0.894424999914403
ACOX3 0.327336523562986 0.0492469425219984 0.935310587546761 0.823786855815619 0.00134287815134787 0.351835440042186 0.0013304573618686 0.00150828150292584 1.44545993375947e-05 3.6866200964506e-09 0.295726430623126
ACP1 0.918694553790812 5.56646779736944e-05 0.0162734253370636 8.05117183900273e-05 0.0119315517088867 0.0279960120965246 0.71167505850387 0.266314371291908 4.94522591854611e-05 0.234664233384534 0.358374796381793
ACP2 0.651126126758292 0.542611163693752 0.752276675329189 0.253372903789557 0.027657301888223 0.0332412938225781 0.24233262485856 0.0165013703270267 8.62994543301028e-05 0.000710954540360464 0.145005469103542
ACP5 0.0598399596276899 0.198876238943288 0.179313615979401 0.883319602601438 0.115189185788455 0.0177644404719269 0.00236877621498263 0.0141905955960053 3.11756455263872e-07 9.8222384242585e-09 0.422895129460623
ACP6 0.0709625901615896 0.022428879263923 0.339772926971518 0.480586609407513 0.0631282966613757 0.563851033658094 0.00258288494500425 0.0653005530168547 0.00194664160805644 1.81141079006126e-06 0.341043130948965
ACPT 0.358486978862083 0.173661878368082 0.090832243854204 0.0264029722194386 0.035695176442848 0.35409087071378 0.414965392890785 0.903773062829542 0.213196678001642 0.943183868054605 0.19362982559964
ACRBP 0.183054725787699 0.653675840989608 0.962230072808301 0.408872773209578 0.362095353289316 0.865968480103696 0.508404060619362 0.0880851331010929 0.428994124459822 0.639986001316933 0.694539083014066
ACRC 0.189492829018026 0.558371189690112 0.0326204449121759 0.0115739561821002 0.000715403906919838 0.546944471631832 0.799625388412836 0.0482000867617882 0.0148472603666413 0.182835432726659 0.169601643189777
ACSF2 0.00216755137460309 0.0959396440753546 0.229006126127035 0.797791022271278 0.105576689688124 0.0132914670773627 0.0263073555675667 0.63531138338998 0.000945065812579667 0.000120477262877248 0.0424877552982606
ACSF3 0.259086385707517 0.000294554740923836 0.138672566630963 0.184390869554604 0.0604730433459756 0.713260994770505 7.61924278428274e-05 0.00389580848408988 0.000786285054443616 6.2229960794495e-12 0.645350377704795
