greenyellow black magenta green purple cyan brown pink blue turquoise grey
ACER2 -0.0560420573313183 0.129749894382089 0.23215114781941 0.00464973630524942 0.126102930997479 -0.296291252714965 0.249660316545578 -0.0560891298894887 0.0316870922220708 0.116410649232986 0.198027928859018
ACER3 -0.237523127509767 -0.016323065546546 0.00588653236678319 -0.0073121357117252 0.128318883973148 0.0660035822701015 0.318971157569889 0.0603343972200082 0.319620476142506 0.362432765196149 -0.174757392941217
ACIN1 0.293403830146512 0.463765786495861 0.564131093876743 0.809770781098247 0.805344019102123 0.245566858291847 -0.164355286551463 0.297003606072718 0.636318981971548 0.166238599029983 0.368947711393936
ACLY -0.334809763362124 -0.238755329981541 -0.0779717357312615 0.029217876173382 0.432394661347762 0.274659761847258 0.566504633404329 0.394322867102178 0.710041541476048 0.835536014877978 0.111257531981182
ACN9 -0.503730758680973 -0.142444777871036 -0.232928160992979 -0.35259343512981 -0.187719003033108 0.0732465378108718 0.568156301044185 -0.0847936921355204 0.180473743383451 0.437383021022627 -0.12804153115971
ACO1 -0.0962680849511808 0.0279307487004639 0.239453301853724 0.23525550386146 0.591511834529704 0.0274925751318119 0.486145459465461 0.316421882404845 0.654957177511809 0.672340025223475 0.358908803802209
ACO2 0.0839762754113036 -0.17417355581153 -0.0336382620660477 0.377356963577477 0.628481952109916 0.478445006397411 0.225553684046976 0.68644765378719 0.868149276538234 0.773037785931499 0.189788153443965
ACOT1 -0.154316872540438 0.0365119044653259 0.0444136684239641 0.0993684041184081 0.191401513658133 0.00408260957083463 0.144855108351761 0.22816879808796 0.283283187541918 0.247087040463935 -0.0322589462727482
ACOT11 -0.235600456008842 -0.0971520026514246 0.00838100103901827 0.0261651279997428 0.256131762279275 0.261703279057897 0.280139494118676 0.0611522258072653 0.335165103936571 0.374678337737885 0.250423141970751
ACOT13 -0.340398324335926 0.333964548434772 0.456566126777005 0.0760884345412435 0.319729614854587 -0.205819139080323 0.554054017008686 -0.194269414538093 0.267556890667623 0.300804852285482 0.248720363124873
ACOT2 0.132601769799633 0.233362556151519 0.236128521160002 0.453096084799663 0.459021672078883 0.273753873245348 0.0688395916892642 0.416780069432782 0.581414464732302 0.340756101222159 -0.178998270290143
ACOT4 -0.177963899985523 -0.335819236512488 -0.262585220851399 -0.130033091435919 0.118254462038494 0.138299512386198 0.193766058298413 0.170860001239133 0.24950541912103 0.395953427390003 0.0215522800656531
ACOT7 -0.0142782971540998 -0.214717425509471 -0.179023536372419 0.1272694132159 0.260618199729479 0.333434333202787 0.149983458126798 0.365592944041549 0.54017193038343 0.515408159459931 -0.0568515702498673
